nom_commune_postal,latitude,longitude,code_postal,code_commune_INSEE,nom_departement,nom_département
CUGNY,49.7031009123,3.15424498862,02480,02246,Aisne,Aisne
CUIRIEUX,49.6834404265,3.81994750866,02350,02248,Aisne,Aisne
CUIRY HOUSSE,49.2904033438,3.48843248507,02220,02249,Aisne,Aisne
CUIRY LES CHAUDARDES,49.3897631676,3.76227512623,02160,02250,Aisne,Aisne
CUIRY LES IVIERS,49.7661751176,4.10397751712,02360,02251,Aisne,Aisne
CUISSY ET GENY,49.4034575347,3.70612307803,02160,02252,Aisne,Aisne
CUISY EN ALMONT,49.4207417064,3.24887510168,02200,02253,Aisne,Aisne
CUTRY,49.3442753875,3.19127169549,02600,02254,Aisne,Aisne
CYS LA COMMUNE,49.3837163848,3.57235420125,02220,02255,Aisne,Aisne
DAGNY LAMBERCY,49.7690562311,4.04218248631,02140,02256,Aisne,Aisne
DALLON,49.8240617542,3.23031219742,02680,02257,Aisne,Aisne
DAMMARD,49.1470522556,3.17719709632,02470,02258,Aisne,Aisne
DAMPLEUX,49.2414407733,3.14413128827,02600,02259,Aisne,Aisne
DANIZY,49.6665738585,3.40089557013,02800,02260,Aisne,Aisne
DERCY,49.709705981,3.68499803784,02270,02261,Aisne,Aisne
DEUILLET,49.6285991184,3.36051598302,02700,02262,Aisne,Aisne
DHUIZEL,49.3602201297,3.61487590771,02220,02263,Aisne,Aisne
DIZY LE GROS,49.6355575735,4.01312880234,02340,02264,Aisne,Aisne
DOHIS,49.7667554096,4.14178746545,02360,02265,Aisne,Aisne
DOLIGNON,49.7338298517,4.08637882793,02360,02266,Aisne,Aisne
DOMMIERS,49.3290731499,3.21634686939,02600,02267,Aisne,Aisne
DOMPTIN,49.0156995656,3.27296497779,02310,02268,Aisne,Aisne
DORENGT,49.9652064178,3.7033753973,02450,02269,Aisne,Aisne
DOUCHY,49.7940905147,3.13035849025,02590,02270,Aisne,Aisne
DRAVEGNY,49.2391906053,3.64128453803,02130,02271,Aisne,Aisne
DROIZY,49.2773564352,3.38965007811,02210,02272,Aisne,Aisne
DURY,49.751235296,3.13377121735,02480,02273,Aisne,Aisne
EBOULEAU,49.6781110152,3.88259465732,02350,02274,Aisne,Aisne
EFFRY,49.9191180654,3.98790173223,02500,02275,Aisne,Aisne
ENGLANCOURT,49.9258825845,3.80718694445,02260,02276,Aisne,Aisne
EPAGNY,49.471791053,3.25384432012,02290,02277,Aisne,Aisne
EPARCY,49.8861370225,4.0702371205,02500,02278,Aisne,Aisne
EPAUX BEZU,49.1029988371,3.35359350285,02400,02279,Aisne,Aisne
EPIEDS,49.1045180167,3.45072347386,02400,02280,Aisne,Aisne
L EPINE AUX BOIS,48.8992804015,3.44384138078,02540,02281,Aisne,Aisne
EPPES,49.5523855068,3.73980858367,02840,02282,Aisne,Aisne
ERLON,49.7348278249,3.70534450333,02250,02283,Aisne,Aisne
ERLOY,49.9195909244,3.83764920476,02260,02284,Aisne,Aisne
ESQUEHERIES,49.9822300914,3.75309920982,02170,02286,Aisne,Aisne
ESSIGNY LE GRAND,49.7740780116,3.27214459324,02690,02287,Aisne,Aisne
ESSIGNY LE PETIT,49.8961825414,3.36742260207,02100,02288,Aisne,Aisne
ESSISES,48.9666904843,3.41396491705,02570,02289,Aisne,Aisne
ESSOMES SUR MARNE,49.0341132047,3.34014174183,02400,02290,Aisne,Aisne
ESTREES,49.9705842912,3.2801536166,02420,02291,Aisne,Aisne
ETAMPES SUR MARNE,49.0317558536,3.41777664616,02400,02292,Aisne,Aisne
ETAVES ET BOCQUIAUX,49.9310354275,3.45081301205,02110,02293,Aisne,Aisne
ETOUVELLES,49.5186450995,3.58156180986,02000,02294,Aisne,Aisne
ETREAUPONT,49.8962633822,3.92348915288,02580,02295,Aisne,Aisne
ETREILLERS,49.8325776228,3.15800068609,02590,02296,Aisne,Aisne
ETREPILLY,49.0822681369,3.34802063568,02400,02297,Aisne,Aisne
ETREUX,49.9996010721,3.65890491685,02510,02298,Aisne,Aisne
EVERGNICOURT,49.4564306975,4.03631753944,02190,02299,Aisne,Aisne
FAUCOUCOURT,49.5334418244,3.46663902605,02320,02301,Aisne,Aisne
FAVEROLLES,49.227064775,3.17814481548,02600,02302,Aisne,Aisne
FAYET,49.8710844824,3.25278845948,02100,02303,Aisne,Aisne
LA FERE,49.6662828073,3.36938834693,02800,02304,Aisne,Aisne
FERE EN TARDENOIS,49.1875000917,3.51106425515,02130,02305,Aisne,Aisne
LA FERTE CHEVRESIS,49.7409973498,3.55129770695,02270,02306,Aisne,Aisne
LA FERTE MILON,49.1759874423,3.14237641756,02460,02307,Aisne,Aisne
LA FERTE MILON,49.1759874423,3.14237641756,02460,02307,Aisne,Aisne
FESMY LE SART,50.0482154856,3.69825469199,02450,02308,Aisne,Aisne
FESMY LE SART,50.0482154856,3.69825469199,02450,02308,Aisne,Aisne
FESTIEUX,49.5252642949,3.76013631694,02840,02309,Aisne,Aisne
FIEULAINE,49.9018502295,3.44594045878,02110,02310,Aisne,Aisne
FILAIN,49.4528807514,3.5574063541,02000,02311,Aisne,Aisne
LA FLAMENGRIE,50.0002036206,3.92466690244,02260,02312,Aisne,Aisne
FLAVIGNY LE GRAND ET BEAURAIN,49.8865505663,3.67406409367,02120,02313,Aisne,Aisne
FLAVY LE MARTEL,49.7047240534,3.19451403575,02520,02315,Aisne,Aisne
FLEURY,49.2652863131,3.15947064674,02600,02316,Aisne,Aisne
FLUQUIERES,49.800435087,3.15658582012,02590,02317,Aisne,Aisne
FOLEMBRAY,49.5492820594,3.29319165625,02670,02318,Aisne,Aisne
FONSOMME,49.9012467271,3.39650664791,02110,02319,Aisne,Aisne
FONTAINE LES CLERCS,49.8078439274,3.21253412905,02680,02320,Aisne,Aisne
FONTAINE LES VERVINS,49.8537390603,3.90543025367,02140,02321,Aisne,Aisne
FONTAINE NOTRE DAME,49.8785724713,3.42380596752,02110,02322,Aisne,Aisne
